Storage Interval (Days),n,Group,Losses (%) : Mean ± SEM,Water (%) : Mean ± SEM
0,6,AG,100 ± 0.00,77.80 ± 1.00
0,6,RG,100 ± 0.00,78.19 ± 2.02
p-value,,,-,0.3039
3,6,AG,97.61 ± 0.98,76.60 ± 1.23
3,6,RG,98.12 ± 1.67,77.26 ± 1.40
p-value,,,0.1872,0.1762
6,6,AG,93.56 ± 2.85,74.26 ± 2.64
6,6,RG,94.58 ± 1.34,74.88 ± 1.12
p-value,,,0.3633,0.1906
9,6,AG,90.48 ± 2.72,72.74 ± 2.25
9,6,RG,89.87 ± 3.25,72.63 ± 3.21
p-value,,,0.1964,0.3692
12,6,AG,88.79 ± 1.95,72.18 ± 2.07
12,6,RG,89.05 ± 2.72,72.18 ± 2.61
p-value,,,0.1408,>0.9999
15,6,AG,87.12 ± 2.52,70.90 ± 2.17
15,6,RG,87.87 ± 2.03,71.47 ± 2.42
p-value,,,0.2386,2.2861