Fatty Acids,AG (n=6): Mean ± SEM,RG (n=6): Mean ± SEM,p-Value
C 14:0,3.08 ± 0.078,1.54 ± 0.054,4.95 × 10<sup>−9</sup>
C 14:1,ND,0.32 ± 0.012,-
C 16:0,11.54 ± 0.113,15.16 ± 0.399,1.46 × 10<sup>−5</sup>
C 16:1,3.66 ± 0.069,8.39 ± 0.730,1.20 × 10<sup>−8</sup>
C 18:0,2.92 ± 0.080,3.69 ± 0.196,5.20 × 10<sup>−5</sup>
C 18:1 n−9,19.98 ± 0.397,24.83 ± 1.492,9.53 × 10<sup>−5</sup>
C 18:2 n−6,8.25 ± 0.202,4.79 ± 0.397,3.75 × 10<sup>−8</sup>
C 18:3 n−3,1.70 ± 0.021,3.83 ± 0.218,1.41 × 10<sup>−9</sup>
C 20:0,0.18 ± 0.005,0.19 ± 0.017,0.1478
C 20:1 n−9,5.75 ± 0.195,1.82 ± 0.100,1.23 × 10<sup>−10</sup>
C 20:2 n−6,0.44 ± 0.006,0.49 ± 0.010,0.0109
C 20:4 n−6,0.25 ± 0.008,2.12 ± 0.042,6.56 × 10<sup>−12</sup>
C 20:3 n−3,5.51 ± 0.198,0.27 ± 0.007,2.93 × 10<sup>−13</sup>
C 20:5 n−3,3.57 ± 0.083,3.09 ± 0.125,0.0001
C 22:0,0.49 ± 0.004,0.80 ± 0.010,9.14 × 10<sup>−9</sup>
C 22:5 n−6,0.17 ± 0.001,ND,-
C 22:5 n−3,2.09 ± 0.014,1.91 ± 0.059,0.0293
C 22:6 n−3,7.17 ± 0.187,8.61 ± 1.173,0.0003
Σ SFA,18.21,21.37,
Σ MUFA,29.38,35.36,
Σ PUFA,25.58,25.11,
n−3,20.03,17.71,
n−6,9.12,7.39,
n−3/n−6,2.20,2.40,
n−6/n−3,0.46,0.42,
PUFA/SFA,1.40,1.17,
USFA/SFA,03.02,2.83,
PI,11.65,12.45,
AI,0.41,0.35,
TI,0.22,0.27,
HFA,14.62,16.70,
hFA,45.56,49.94,
h/H,3.12,2.99,